Team,W,L,T,AverageYards,CompletionRate,Location,Location.1,State,long,lat,group,order,subregion
LA,13,3,0,8.13,63.48,California,California,california,-114.71187591552734,33.13414764404297,4,725,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.7004165649414,33.082584381103516,4,726,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.66030883789062,33.05393600463867,4,727,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.53999328613281,33.04247283935547,4,728,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.48269653320312,32.996639251708984,4,729,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.47696685791016,32.933616638183594,4,730,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.47696685791016,32.876319885253906,4,731,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.5228042602539,32.82475280761719,4,732,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.55145263671875,32.76172637939453,4,733,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.59156036376953,32.738807678222656,4,734,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.65458679199219,32.738807678222656,4,735,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.68895721435547,32.744537353515625,4,736,NA
LA,13,3,0,8.13,63.48,California,California,california,-114.73480224609375,32.73308181762695,4,737,NA
LA,13,3,0,8.13,63.48,California,California,california,-116.10417175292969,32.62421798706055,4,738,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.1125717163086,32.538272857666016,4,739,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.1125717163086,32.5955696105957,4,740,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.1125717163086,32.61848831176758,4,741,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.12403106689453,32.64140701293945,4,742,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.15840911865234,32.66432571411133,4,743,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.16413879394531,32.68151092529297,4,744,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.15267181396484,32.6872444152832,4,745,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.10111999511719,32.64140701293945,4,746,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.08392333984375,32.629947662353516,4,747,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.08392333984375,32.652862548828125,4,748,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.09538269042969,32.6872444152832,4,749,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.12403106689453,32.704429626464844,4,750,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.1469497680664,32.72161865234375,4,751,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.15840911865234,32.73308181762695,4,752,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.18133544921875,32.73308181762695,4,753,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.19851684570312,32.704429626464844,4,754,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.2099838256836,32.698699951171875,4,755,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.22716522216797,32.71016311645508,4,756,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.2328872680664,32.750267028808594,4,757,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.2099838256836,32.7674560546875,4,758,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.2042465209961,32.784645080566406,4,759,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.2099838256836,32.796104431152344,4,760,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.22716522216797,32.80756378173828,4,761,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.25008392333984,32.82475280761719,4,762,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.25581359863281,32.85340118408203,4,763,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.2328872680664,32.876319885253906,4,764,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.22716522216797,32.91642761230469,4,765,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.24434661865234,32.990909576416016,4,766,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.25008392333984,33.0310173034668,4,767,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.28445434570312,33.105499267578125,4,768,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.31884002685547,33.151336669921875,4,769,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.35321044921875,33.21436309814453,4,770,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.40477752685547,33.26593017578125,4,771,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.43342590332031,33.311763763427734,4,772,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.4735336303711,33.340415954589844,4,773,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.52510070800781,33.37479019165039,4,774,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.5652084350586,33.403438568115234,4,775,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.58240509033203,33.432090759277344,4,776,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.64541625976562,33.46073532104492,4,777,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.67980194091797,33.4836540222168,4,778,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.71418762207031,33.50657272338867,4,779,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.74282836914062,33.54094696044922,4,780,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.78865814208984,33.58678436279297,4,781,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.83450317382812,33.62116241455078,4,782,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.8688735961914,33.63262176513672,4,783,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.89179992675781,33.63262176513672,4,784,NA
LA,13,3,0,8.13,63.48,California,California,california,-117.9319076538086,33.66127014160156,4,785,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.00639343261719,33.72429656982422,4,786,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.05794525146484,33.75294494628906,4,787,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.08087158203125,33.764400482177734,4,788,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.09233093261719,33.77586364746094,4,789,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.1381607055664,33.78731918334961,4,790,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.17254638671875,33.793052673339844,4,791,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.2069320678711,33.77586364746094,4,792,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.2355728149414,33.77586364746094,4,793,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.2355728149414,33.75294494628906,4,794,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.24703216552734,33.735755920410156,4,795,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.28140258789062,33.735755920410156,4,796,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.30432891845703,33.747215270996094,4,797,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.3272476196289,33.75294494628906,4,798,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.36735534667969,33.764400482177734,4,799,NA
LA,13,3,0,8.13,63.48,California,California,california,-118.39026641845703,33.781593322753906,4,800,NA
